process,ans,r,lambda,epoch,n5447,10367.98081,0.680542927,0.933076487,114,1
5445,-459.9999835,0.680538902,0.933072524,114,1,,,,,
5448,-459.9999835,0.680539153,0.93307866,114,1,,,,,
5445,-459.9999835,0.680537281,0.933071052,114,1,,,,,
5445,-459.9999834,0.680538003,0.933078887,114,1,,,,,
6369,-459.9999834,0.680538902,0.933076646,114,1,,,,,
5446,-459.9999834,0.680540533,0.93307667,114,1,,,,,
5452,-459.9999834,0.680539148,0.933077046,114,1,,,,,
5452,-459.9999833,0.680544466,0.933074833,114,1,,,,,
5447,-459.9999833,0.680538961,0.933074567,114,1,,,,,
5447,-459.9999833,0.68054454,0.933070253,114,1,,,,,
6372,-459.9999833,0.680539072,0.933077567,114,1,,,,,
5446,-459.9999833,0.680536181,0.933075148,114,1,,,,,
6365,-459.9999833,0.680536326,0.933078641,114,1,,,,,
5446,-459.9999832,0.68053905,0.933073242,114,1,,,,,
5451,-459.9999832,0.680536503,0.933074208,114,1,,,,,
5452,-459.9999832,0.680540635,0.933073061,114,1,,,,,
5446,-459.9999831,0.68053618,0.933077093,114,1,,,,,
5449,-459.9999831,0.680537545,0.933079471,114,1,,,,,
5453,-459.9999831,0.680539315,0.93307395,114,1,,,,,
6370,-459.999983,0.680537537,0.933077421,114,1,,,,,
6373,-459.999983,0.680537983,0.933079996,114,1,,,,,
5445,-459.999983,0.680544533,0.933075114,114,1,,,,,
5447,-459.999983,0.680536415,0.933078829,114,1,,,,,
5452,-459.9999829,0.680539157,0.933073661,114,1,,,,,
5446,-459.9999829,0.680534866,0.933075509,114,1,,,,,
5452,-459.9999829,0.680536397,0.933078455,114,1,,,,,
5449,-459.9999829,0.680539326,0.933075495,114,1,,,,,
5445,-459.9999829,0.680534972,0.933075936,114,1,,,,,
5445,-459.9999829,0.6805393,0.933074929,114,1,,,,,
6372,-459.9999829,0.680534876,0.933078833,114,1,,,,,
6366,-459.9999829,0.680544597,0.933079941,114,1,,,,,
6372,-459.9999828,0.680538926,0.933078435,114,1,,,,,
5446,-459.9999828,0.680536479,0.933076417,114,1,,,,,
5451,-459.9999828,0.68053488,0.933071633,114,1,,,,,
5449,-459.9999827,0.680534995,0.933074843,114,1,,,,,
5445,-459.9999827,0.680536431,0.933077005,114,1,,,,,
6366,-459.9999827,0.680534416,0.93308106,114,1,,,,,
6370,-459.9999826,0.680534373,0.933078262,114,1,,,,,
5450,-459.9999826,0.680539287,0.933075068,114,1,,,,,
5451,-459.9999826,0.680536492,0.933075482,114,1,,,,,
5444,-459.9999826,0.680540647,0.933072636,114,1,,,,,
6371,-459.9999826,0.680534991,0.933077608,114,1,,,,,
5448,-459.9999825,0.680539445,0.933073542,114,1,,,,,
6372,-459.9999825,0.680537487,0.933069691,114,1,,,,,
5450,-459.9999825,0.680537986,0.933075926,114,1,,,,,
5444,-459.9999825,0.680538044,0.933077683,114,1,,,,,
6366,-459.9999825,0.680534472,0.933066473,114,1,,,,,
5448,-459.9999825,0.680540672,0.933076765,114,1,,,,,
5450,-459.9999825,0.680539346,0.933072232,114,1,,,,,
5451,-459.9999824,0.680536326,0.933077745,114,1,,,,,
5445,-459.9999824,0.680539346,0.93307521,114,1,,,,,
5447,-459.9999824,0.680536714,0.933077398,114,1,,,,,
5449,-459.9999823,0.680536114,0.933075022,114,1,,,,,
5451,-459.9999823,0.680536332,0.933078326,114,1,,,,,
5447,-459.9999823,0.680540677,0.93307339,114,1,,,,,
5445,-459.9999823,0.68053639,0.933069928,114,1,,,,,
5452,-459.9999822,0.680536143,0.933073838,114,1,,,,,
5453,-459.9999822,0.680539286,0.933075235,114,1,,,,,
5447,-459.9999822,0.680544593,0.933076711,114,1,,,,,
6367,-459.9999821,0.680534496,0.933068502,114,1,,,,,
5446,-459.9999821,0.680538236,0.933074546,114,1,,,,,
5444,-459.9999821,0.680538995,0.93307317,114,1,,,,,
6367,-459.9999821,0.680536338,0.933067937,114,1,,,,,
5450,-459.999982,0.680536099,0.933071472,114,1,,,,,
6373,-459.999982,0.680544507,0.933079873,114,1,,,,,
6370,-459.999982,0.680534466,0.933084032,114,1,,,,,
5448,-459.999982,0.680538185,0.933069568,114,1,,,,,
5453,-459.9999819,0.680536704,0.933077579,114,1,,,,,
